,Annotations
group00984,['High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)']
group00985,"['None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group00986,['None Provided']; ['membrane protein of unknown function']; ['hypothetical protein']; ['putative membrane protein']
group00987,['Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)']
group00988,['None Provided']; ['Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)']; ['Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)']
group00989,"['None Provided']; ['Iron-sulfur cluster regulator SufR']; ['Iron-sulfur cluster regulator SufR', 'Iron-sulfur cluster regulator SufR']"
group00990,"['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group00991,['SSU ribosomal protein S10p (S20e)']
group00992,"['UPF0246 protein YaaA']; ['UPF0246 protein YaaA', 'UPF0246 protein YaaA']; ['UPF0246 protein YaaA', 'None Provided']"
group00993,['None Provided']
group00994,['Threonine dehydratase (EC 4.3.1.19)']
group00995,"['None Provided']; ['ATP synthase protein I']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group00996,"['None Provided']; ['None Provided', 'None Provided']; ['Myo-inositol 2-dehydrogenase (EC 1.1.1.18)']; ['Myo-inositol 2-dehydrogenase (EC 1.1.1.18)', 'Myo-inositol 2-dehydrogenase (EC 1.1.1.18)']; ['hypothetical protein']"
group00997,"['Chromosome segregation ATPases', 'Chromosome segregation ATPases']; ['Chromosome segregation ATPases', 'None Provided']; ['Chromosome segregation ATPases']"
group00998,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group00999,"['None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01000,"['None Provided']; ['GCN5-related N-acetyltransferase']; ['Histone acetyltransferase HPA2 and related acetyltransferases']; ['Diamine acetyltransferase 1 (EC 2.3.1.57)']; ['None Provided', 'None Provided']; ['putative acetyltransferase']; ['hypothetical protein']"
group01001,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01002,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01003,"['None Provided']; ['None Provided', 'None Provided', 'DNA-3-methyladenine glycosylase II (EC 3.2.2.21)']; ['DNA-3-methyladenine glycosylase II (EC 3.2.2.21)', 'DNA-3-methyladenine glycosylase II (EC 3.2.2.21)']; ['DNA-3-methyladenine glycosylase II (EC 3.2.2.21)']"
group01004,"['None Provided']; ['Cell division protein FtsQ']; ['hypothetical protein', 'hypothetical protein']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01005,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01006,['Acyl-CoA dehydrogenase (EC 1.3.8.7)']; ['3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)']
group01007,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01008,"['(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)']; ['(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)', '(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)']"
group01009,"['Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)', 'Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)']; ['None Provided']; ['Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)']; ['hypothetical protein']"
group01010,"['Uracil-DNA glycosylase, family 5']; ['None Provided']; ['Uracil-DNA glycosylase, family 5', 'Uracil-DNA glycosylase, family 5']"
group01011,"['ATP-dependent DNA helicase SCO5183']; ['ATP-dependent DNA helicase SCO5183', 'ATP-dependent DNA helicase SCO5183']"
group01012,['None Provided']; ['ABC transporter permease protein']; ['Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)']; ['hypothetical protein']
group01013,"['None Provided']; ['NUDIX hydrolase']; ['Possible mutator protein MutT3 (7,8-dihydro-8-oxoguanine-triphosphatase)']"
group01014,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01015,"['None Provided']; ['DNA binding domain protein, excisionase family']; ['Excisionase/Xis, DNA-binding']; ['DNA binding domain protein, excisionase family', 'DNA binding domain protein, excisionase family', 'DNA binding domain protein, excisionase family']"
group01016,['major facilitator superfamily MFS_1']; ['hypothetical protein']
group01017,['None Provided']; ['hypothetical protein']
group01018,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01019,"['Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)']"
group01020,"['Cysteinyl-tRNA synthetase (EC 6.1.1.16)']; ['Cysteinyl-tRNA synthetase (EC 6.1.1.16)', 'Cysteinyl-tRNA synthetase (EC 6.1.1.16)']"
group01021,"['None Provided']; ['None Provided', 'None Provided']; ['None Provided', 'None Provided', 'None Provided']; ['hypothetical protein']"
group01022,"['None Provided']; ['hypothetical protein', 'hypothetical protein', 'hypothetical protein']; ['FIG00919308: hypothetical protein']; ['antibiotic efflux protein', 'hypothetical protein']; ['hypothetical protein', 'hypothetical protein']; ['Permease of the drug/metabolite transporter (DMT) superfamily']; ['None Provided', 'antibiotic efflux protein']; ['hypothetical protein']"
group01023,"['Beta-glucosidase (EC 3.2.1.21)']; ['Beta-glucosidase (EC 3.2.1.21)', 'Beta-glucosidase (EC 3.2.1.21)']"
group01024,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01025,"['None Provided']; ['FIG00819990: hypothetical protein', 'FIG00819990: hypothetical protein']; ['FIG00819990: hypothetical protein']; ['hypothetical protein']"
group01026,"['Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)', 'Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)']; ['Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)']"
group01027,"['None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01028,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01029,"['None Provided']; ['None Provided', 'None Provided', 'None Provided']; ['hypothetical protein']"
group01030,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein', 'hypothetical protein']; ['Cysteinyl-tRNA synthetase (EC 6.1.1.16)']"
group01031,"['None Provided']; ['None Provided', 'None Provided']; ['Succinyl-CoA synthetase, alpha subunit-related enzymes']; ['CoA-binding domain protein']"
group01032,"['None Provided']; ['None Provided', 'hypothetical protein']; ['hypothetical protein']"
group01033,['Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster; BAT1-like']
group01034,['None Provided']; ['hypothetical protein']
group01035,['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)']
group01036,['None Provided']
group01037,['None Provided']; ['hypothetical protein']
group01038,['None Provided']; ['hypothetical protein']
group01039,['None Provided']; ['hypothetical protein']; ['Glycine/D-amino acid oxidases (deaminating)']
group01040,['Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)']
group01041,['Molybdenum cofactor biosynthesis protein MoaD']; ['FIG038648: MoaD and/or ThiS families']
group01042,['None Provided']; ['hypothetical protein']
group01043,"['UDP-glucose 4-epimerase (EC 5.1.3.2)', 'UDP-glucose 4-epimerase (EC 5.1.3.2)']; ['GDP-L-fucose synthetase (EC 1.1.1.271)']"
group01044,"['Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)']; ['Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)']"
group01045,"['None Provided']; ['Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)', 'Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)']; ['Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)']"
group01046,"['None Provided']; ['None Provided', 'None Provided']; ['None Provided', 'None Provided', 'None Provided', 'None Provided']; ['hypothetical protein']"
group01047,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01048,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01049,"['None Provided']; ['None Provided', 'hypothetical protein']; ['Stage II sporulation protein D (SpoIID)']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01050,['Acyl-CoA thioesterase II (EC 3.1.2.-)']
group01051,"['None Provided']; ['Vitamin B12 ABC transporter, permease component BtuC']; ['hypothetical protein']"
group01052,"['Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)', 'Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)', 'Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)']; ['Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)']"
group01053,"['Fructose-bisphosphate aldolase class II (EC 4.1.2.13)', 'Fructose-bisphosphate aldolase class II (EC 4.1.2.13)']; ['Fructose-bisphosphate aldolase class II (EC 4.1.2.13)']"
group01054,"['None Provided', 'UDP-glucose 6-dehydrogenase (EC 1.1.1.22)']; ['UDP-glucose 6-dehydrogenase (EC 1.1.1.22)']; ['UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase']; ['UDP-N-acetyl-D-glucosamine 6-dehydrogenase (EC 1.1.1.136)']; ['UDP-glucose 6-dehydrogenase (EC 1.1.1.22)', 'UDP-glucose 6-dehydrogenase (EC 1.1.1.22)', 'UDP-glucose 6-dehydrogenase (EC 1.1.1.22)', 'UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase', 'UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase']; ['UDP-glucose 6-dehydrogenase (EC 1.1.1.22)', 'UDP-glucose 6-dehydrogenase (EC 1.1.1.22)', 'UDP-glucose 6-dehydrogenase (EC 1.1.1.22)', 'UDP-glucose dehydrogenase (EC 1.1.1.22)']"
group01055,"['None Provided']; ['None Provided', 'hypothetical protein']; ['hypothetical protein']"
group01056,"['None Provided']; ['None Provided', 'hypothetical protein']; ['None Provided', 'hypothetical protein', 'hypothetical protein', 'hypothetical protein']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01057,"['None Provided']; ['None Provided', 'None Provided']"
group01058,['Xylulose kinase (EC 2.7.1.17)']
group01059,['None Provided']; ['hypothetical protein']
group01060,"['2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)', '2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)']; ['2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)', '5-keto-2-deoxygluconokinase (EC 2.7.1.92)']; ['2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)']; ['5-keto-2-deoxygluconokinase (EC 2.7.1.92)']"
group01061,"['None Provided']; ['hypothetical protein']; ['Vitamin B12 ABC transporter, B12-binding component BtuF']"
group01062,['[Protein-PII] uridylyltransferase (EC 2.7.7.59)']
group01063,['None Provided']; ['hypothetical protein']
group01064,['Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)']
group01065,['None Provided']; ['Endonuclease (EC 3.1.-.-)']; ['protein of unknown function UPF0102']
group01066,['None Provided']; ['hypothetical protein']
group01067,['None Provided']; ['Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)']; ['hypothetical protein']
group01068,"['None Provided']; ['Rhodanese domain protein UPF0176, Actinobacterial subgroup']"
group01069,['Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)']
group01070,['putative integral membrane protein']; ['PROBABLE MEMBRANE PROTEIN']
group01071,"['None Provided']; ['None Provided', 'None Provided']"
group01072,"['Ferric siderophore transport system, periplasmic binding protein TonB']; ['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01073,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein', 'hypothetical protein', 'hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01074,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01075,"['None Provided']; ['Short-chain dehydrogenase/reductase SDR']; ['Short chain dehydrogenase family protein']; ['Short chain dehydrogenase family protein', 'Short chain dehydrogenase family protein']"
group01076,['None Provided']; ['Molybdenum cofactor biosynthesis protein MoaE']
group01077,['Methylmalonyl-CoA mutase (EC 5.4.99.2)']
group01078,"['Zinc ABC transporter, inner membrane permease protein ZnuB']"
group01079,['RecB family exonuclease']
group01080,"['None Provided']; ['None Provided', 'None Provided']"
group01081,"['MaoC family protein']; ['MaoC family protein', 'MaoC family protein']; ['MaoC family protein', 'None Provided']"
group01082,"['Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis', 'Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis', 'Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis']; ['Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis']"
group01083,"['None Provided']; ['Cytochrome oxidase biogenesis protein Surf1, facilitates heme A insertion']; ['hypothetical protein']; ['None Provided', 'hypothetical protein', 'None Provided']"
group01084,['None Provided']; ['hypothetical protein']; ['DedA protein']
group01085,"['None Provided']; ['None Provided', 'N-Acetyl-D-glucosamine ABC transport system, permease protein 2', 'None Provided', 'N-Acetyl-D-glucosamine ABC transport system, permease protein 2']; ['None Provided', 'ABC-type sugar transport system, permease component']; ['None Provided', 'None Provided', 'None Provided']"
group01086,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01087,['dienelactone hydrolase']; ['Dienelactone hydrolase family']
group01088,"['LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-dependent']"
group01089,"['MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein']; ['MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein', 'MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein']"
group01090,['putative Adenosine kinase (EC 2.7.1.20)']
group01091,"['Tryptophan 2,3-dioxygenase (EC 1.13.11.11)', 'Tryptophan 2,3-dioxygenase (EC 1.13.11.11)']; ['Tryptophan 2,3-dioxygenase (EC 1.13.11.11)']; ['hypothetical protein']"
group01092,['None Provided']; ['N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)']; ['hypothetical protein']
group01093,"['None Provided']; ['Membrane protein, putative']; ['FIG011065: hypothetical protein']; ['Putative membrane protein YfcA']; ['membrane protein, putative']; ['hypothetical protein']"
group01094,['None Provided']; ['hypothetical protein']
group01095,"['None Provided']; ['FIG00996259: hypothetical protein']; ['None Provided', 'hypothetical protein']; ['conserved hypothetical protein']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01096,"['NAD-specific glutamate dehydrogenase (EC 1.4.1.2); NADP-specific glutamate dehydrogenase (EC 1.4.1.4)', 'NAD-specific glutamate dehydrogenase (EC 1.4.1.2); NADP-specific glutamate dehydrogenase (EC 1.4.1.4)']; ['NAD-specific glutamate dehydrogenase (EC 1.4.1.2); NADP-specific glutamate dehydrogenase (EC 1.4.1.4)']"
group01097,"['None Provided']; ['Methyltransferase (EC 2.1.1.-)']; ['Methyltransferase (EC 2.1.1.-)', 'Methyltransferase (EC 2.1.1.-)']; ['hypothetical protein']"
group01098,['putative cytochrome P450 hydroxylase']
group01099,"['Sarcosine dehydrogenase (EC 1.5.99.1)', 'Sarcosine dehydrogenase (EC 1.5.99.1)']; ['Sarcosine oxidase beta subunit (EC 1.5.3.1)']; ['Sarcosine dehydrogenase (EC 1.5.99.1)']; ['hypothetical protein']"
group01100,"['internalin, putative']; ['hypothetical protein']"
group01101,"['S-adenosylhomocysteine deaminase (EC 3.5.4.28); Methylthioadenosine deaminase', 'S-adenosylhomocysteine deaminase (EC 3.5.4.28); Methylthioadenosine deaminase']; ['S-adenosylhomocysteine deaminase (EC 3.5.4.28); Methylthioadenosine deaminase']"
group01102,"['None Provided']; ['Type II/IV secretion system protein TadC, associated with Flp pilus assembly']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['Type II/IV secretion system protein TadC, associated with Flp pilus assembly', 'None Provided']"
group01103,"['None Provided', 'None Provided']; ['None Provided', 'Bona fide RidA/YjgF/TdcF/RutC subgroup']; ['Bona fide RidA/YjgF/TdcF/RutC subgroup']"
group01104,"['Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)']"
group01105,['Alkaline serine exoprotease A precursor (EC 3.4.21.-)']; ['hypothetical protein']
group01106,"['None Provided', 'None Provided']; ['None Provided']; ['hypothetical protein']"
group01107,['None Provided']; ['hypothetical protein']
group01108,"['Predicted beta-glucoside-regulated ABC transport system, permease component 2, COG0395']; ['Alpha-glucoside transport system permease protein AglG']; ['hypothetical protein']; ['Predicted beta-glucoside-regulated ABC transport system, permease component 2, COG0395', 'hypothetical protein']; ['Alpha-glucoside transport system permease protein AglG', 'Predicted beta-glucoside-regulated ABC transport system, permease component 2, COG0395']"
group01109,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01110,['None Provided']; ['hypothetical protein']; ['CrcB protein']
group01111,['None Provided']; ['putative two-component system response regulator']
group01112,['Manganese transport protein MntH']
group01113,['None Provided']
group01114,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['Transcriptional regulator, TetR family']"
group01115,['Amino acid permease']
group01116,['None Provided']; ['Molybdopterin biosynthesis molybdochelatase MogA']; ['Molybdenum cofactor biosynthesis protein MoaB']
group01117,['Cyclic pyranopterin monophosphate synthase (EC 4.1.99.18)']
group01118,['None Provided']; ['Lysine decarboxylase family']
group01119,['None Provided']; ['hypothetical protein']
group01120,"['None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01121,"['None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01122,"['None Provided']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01123,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)']"
group01124,"['Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)', 'hypothetical protein']; ['Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)']; ['Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)', 'Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)']; ['hypothetical protein']"
group01125,"['None Provided']; ['None Provided', 'hypothetical protein']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01126,"['None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']; ['regulatory protein MerR']"
group01127,['None Provided']
group01128,['Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)']
group01129,['FIG00820885: hypothetical protein']; ['hypothetical protein']
group01130,['None Provided']; ['TPR-repeat-containing protein']; ['hypothetical protein']
group01131,"['None Provided']; ['putative xylitol oxidase']; ['putative xylitol oxidase', 'putative xylitol oxidase']; ['hypothetical protein']"
group01132,"['None Provided', 'None Provided']; ['None Provided']; ['hypothetical protein']"
group01133,"['None Provided']; ['hypothetical protein', 'None Provided', 'None Provided']; ['internalin, putative']; ['Serine/threonine protein kinase PrkC, regulator of stationary phase']; ['hypothetical protein', 'hypothetical protein', 'None Provided', 'hypothetical protein']; ['Choline binding protein A']; ['None Provided', 'None Provided']; ['TolA protein', 'None Provided']; ['hypothetical protein']"
group01134,"['None Provided']; ['hypothetical protein']; ['None Provided', 'None Provided', 'glucokinase( EC:2.7.1.2 )']"
group01135,"['None Provided']; ['COGs COG2030']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01136,"['Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)']; ['Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)', 'Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)', 'Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)']"
group01137,"['None Provided']; ['None Provided', 'None Provided', 'None Provided']; ['thioredoxin', 'Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)', 'thioredoxin']; ['Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)']"
group01138,"['Fructokinase (EC 2.7.1.4)']; ['Fructokinase (EC 2.7.1.4)', 'Fructokinase (EC 2.7.1.4)', 'Fructokinase (EC 2.7.1.4)']"
group01139,"['None Provided']; ['diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group01140,['None Provided']; ['hypothetical protein']
group01141,['None Provided']
group01142,['Membrane proteins related to metalloendopeptidases']
group01143,"['None Provided']; ['Glycosyl transferase, group 1']; ['Glycosyltransferase', 'None Provided']; ['Glycosyltransferase (EC 2.4.1.-)']; ['Glycosyltransferase']"
group01144,['None Provided']; ['hypothetical protein']; ['Cysteine desulfurase (EC 2.8.1.7)']
group01145,"['Molybdopterin biosynthesis protein MoeA', 'Molybdopterin biosynthesis protein MoeA']; ['Molybdopterin biosynthesis protein MoeA']"
group01146,['Zinc uptake regulation protein ZUR']
group01147,['None Provided']; ['hypothetical protein']
group01148,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01149,"['None Provided']; ['Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)']; ['hypothetical protein']; ['extracellular ligand-binding receptor']"
group01150,['2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain']
group01151,['B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)']
group01152,"['None Provided']; ['Hydroxymethylpyrimidine ABC transporter, transmembrane component']; ['hypothetical protein']"
group01153,"['None Provided']; ['ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component']; ['L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)']"
group01154,"['None Provided']; ['extracellular solute-binding protein, family 3']; ['probable solute binding protein of ABC transporter system']; ['hypothetical protein', 'None Provided']"
group01155,['Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34) / Nitroreductase family protein Rcas_3978']
group01156,"[""Lactyl (2) diphospho-(5')guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase""]"
group01157,['luciferase family protein']
group01158,"['protein of unknown function DUF805']; ['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01159,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['Transcriptional regulator, GntR family']"
group01160,['Porphobilinogen deaminase (EC 2.5.1.61)']
group01161,['None Provided']; ['Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)']; ['hypothetical protein']
group01162,['None Provided']; ['hypothetical protein']
group01163,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01164,['None Provided']; ['diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)']; ['hypothetical protein']
group01165,['Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)']; ['None Provided']; ['Sulfate permease']; ['hypothetical protein']
group01166,"['putative cholesterol oxidase']; ['Cholesterol oxidase (EC 1.1.3.6)', 'putative cholesterol oxidase']; ['Cholesterol oxidase (EC 1.1.3.6)']"
group01167,"['Molybdenum cofactor biosynthesis protein MoaC', 'Molybdenum cofactor biosynthesis protein MoaC']; ['Molybdenum cofactor biosynthesis protein MoaC']"
group01168,['None Provided']; ['hypothetical protein']
group01169,['None Provided']; ['FIG059443: hypothetical protein']
group01170,['dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)']
group01171,"['Carbon monoxide dehydrogenase form I, large chain (EC 1.2.99.2)']"
group01172,"['Fumarate hydratase class II (EC 4.2.1.2)', 'Fumarate hydratase class II (EC 4.2.1.2)']"
group01173,"['Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)']; ['Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)']; ['Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)', 'Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)']; ['hypothetical protein']"
group01174,"['Flagellar hook-length control protein FliK']; ['Flagellar hook-length control protein FliK', 'Flagellar hook-length control protein FliK']; ['hypothetical protein', 'hypothetical protein', 'hypothetical protein', 'Flagellar hook-length control protein FliK', 'hypothetical protein']; ['D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)']; ['hypothetical protein', 'hypothetical protein']; ['Flagellar basal-body rod modification protein FlgD']; ['hypothetical protein']"
group01175,['Arsenical resistance operon repressor']
group01176,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group01177,['Uroporphyrinogen III decarboxylase (EC 4.1.1.37)']
group01178,['Glutamyl-tRNA reductase (EC 1.2.1.70)']
group01179,['None Provided']
group01180,['None Provided']; ['Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)']
group01181,"['ABC transporter related', 'ABC transporter related']; ['ABC transporter related']"
group01182,['Urocanate hydratase (EC 4.2.1.49)']
group01183,"['Serine acetyltransferase (EC 2.3.1.30)', 'Serine acetyltransferase (EC 2.3.1.30)']; ['Serine acetyltransferase (EC 2.3.1.30)']"
group01184,"['Phage tail fiber protein']; ['Flagellar hook-length control protein FliK']; ['Phage tail fiber protein', 'Phage tail fiber protein']; ['None Provided']; ['hypothetical protein']"
group01185,"['Beta-galactosidase (EC 3.2.1.23)', 'Beta-galactosidase (EC 3.2.1.23)']; ['Beta-galactosidase (EC 3.2.1.23)']"
group01186,"['None Provided']; ['Alpha-galactosidase (EC 3.2.1.22)']; ['Alpha-galactosidase (EC 3.2.1.22)', 'Alpha-galactosidase (EC 3.2.1.22)']"
group01187,"['None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']"
group01188,"['None Provided']; ['putative esterase', 'None Provided']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']; ['putative esterase']"
group01189,"['None Provided']; ['Xylose ABC transporter, periplasmic xylose-binding protein XylF', 'Xylose ABC transporter, periplasmic xylose-binding protein XylF']; ['Xylose ABC transporter, periplasmic xylose-binding protein XylF']; ['hypothetical protein']"
group01190,['None Provided']; ['Repressor CsoR of the copZA operon']
group01191,['Porphobilinogen synthase (EC 4.2.1.24)']
group01192,"['Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)']; ['Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)', 'Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)']"
group01193,"['None Provided']; ['None Provided', 'hypothetical protein']; ['hypothetical protein']"
group01194,['None Provided']; ['hypothetical protein']
group01195,['COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination']; ['None Provided']; ['hypothetical protein']
group01196,"['Deacetylases, including yeast histone deacetylase and acetoin utilization protein']"
group01197,['Aldehyde dehydrogenase (EC 1.2.1.3)']
group01198,"['Putative amidotransferase similar to cobyric acid synthase']; ['Putative amidotransferase similar to cobyric acid synthase', 'Putative amidotransferase similar to cobyric acid synthase']"
group01199,"['Ferric iron ABC transporter, permease protein', 'Ferric iron ABC transporter, permease protein']; ['Ferric iron ABC transporter, permease protein']"
