,Annotation
group02035,None Provided
group02036,None Provided
group02037,None Provided
group02038,hypothetical protein
group02039,DNA-cytosine methyltransferase (EC 2.1.1.37)
group02040,hypothetical protein
group02041,hypothetical protein
group02042,DNA-cytosine methyltransferase (EC 2.1.1.37)
group02043,None Provided
group02044,hypothetical protein
group02045,"Oxidoreductase, FAD-binding"
group02046,Glyoxalase family protein
group02047,"COG1830: DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes"
group02048,Phosphatidylcholine synthase (EC 2.7.8.24)
group02049,conserved hypothetical protein-putative phospholipid-binding protein
group02050,None Provided
group02051,"Protein containing domains DUF404, DUF407"
group02052,"Protein containing transglutaminase-like domain, putative cysteine protease"
group02053,FIG00604134: hypothetical protein
group02054,UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)
group02055,hypothetical protein
group02056,hypothetical protein
group02057,None Provided
group02058,"N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein"
group02059,FIG01126328: hypothetical protein
group02060,Cytosine/purine/uracil/thiamine/allantoin permease family protein
group02061,hypothetical protein
group02062,None Provided
group02063,None Provided
group02064,None Provided
group02065,Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)
group02066,Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)
group02067,Adenosylcobinamide kinase (EC 2.7.1.156) / Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)
group02068,None Provided
group02069,ATP-NAD kinase (EC 2.7.1.23)
group02070,Glycine dehydrogenase decarboxylating (glycine cleavage system P1 protein) (EC 1.4.4.2)
group02071,None Provided
group02072,None Provided
group02073,UDP-glucose 4-epimerase (EC 5.1.3.2)
group02074,None Provided
group02075,None Provided
group02076,"Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1)"
group02077,"Pyruvate:ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1)"
group02078,Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
group02079,None Provided
group02080,FIG01128980: hypothetical protein
group02081,Predicted dinucleotide-binding enzymes
group02082,hypothetical protein
group02083,None Provided
group02084,hypothetical protein
group02085,hypothetical protein
group02086,None Provided
group02087,None Provided
group02088,hypothetical protein
group02089,Mobile element protein
group02090,None Provided
group02091,None Provided
group02092,None Provided
group02093,Alcohol dehydrogenase (EC 1.1.1.1)
group02094,None Provided
group02095,"Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"
group02096,Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
group02097,None Provided
group02098,putative ABC transporter permease protein
group02099,None Provided
group02100,None Provided
group02101,None Provided
group02102,None Provided
group02103,2-haloalkanoic acid dehalogenase
group02104,None Provided
group02105,Heat shock protein 60 family chaperone GroEL
group02106,None Provided
group02107,None Provided
group02108,None Provided
group02109,None Provided
group02110,"ABC-type sugar transport systems, permease components"
group02111,None Provided
group02112,None Provided
group02113,None Provided
group02114,None Provided
group02115,hypothetical protein
group02116,None Provided
group02117,hypothetical protein
group02118,None Provided
group02119,None Provided
group02120,None Provided
group02121,None Provided
group02122,hypothetical protein
group02123,None Provided
group02124,None Provided
group02125,oxidoreductase domain protein
group02126,None Provided
group02127,Inositol transport system sugar-binding protein
group02128,None Provided
group02129,None Provided
group02130,hypothetical protein
group02131,hypothetical protein
group02132,None Provided
group02133,UDP-glucose 4-epimerase (EC 5.1.3.2)
group02134,"Glucosamine-6-phosphate deaminase isomerizing, alternative (EC 3.5.99.6)"
group02135,hypothetical protein
group02136,hypothetical protein
group02137,"Hemoprotein HemQ, essential component of heme biosynthetic pathway in Gram-positive bacteria"
group02138,hypothetical protein
group02139,None Provided
group02140,None Provided
group02141,None Provided
group02142,None Provided
group02143,None Provided
group02144,None Provided
group02145,None Provided
group02146,None Provided
group02147,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)"
group02148,None Provided
group02149,None Provided
group02150,None Provided
group02151,None Provided
group02152,Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)
group02153,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)
group02154,None Provided
group02155,Glutamate synthase NADPH large chain (EC 1.4.1.13)
group02156,1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)
group02157,None Provided
group02158,Inosose dehydratase (EC 4.2.1.44)
group02159,Heat shock protein 60 family chaperone GroEL
group02160,None Provided
group02161,hypothetical protein
group02162,None Provided
group02163,None Provided
group02164,None Provided
group02165,None Provided
group02166,Exonuclease SbcD
group02167,None Provided
group02168,None Provided
group02169,Beta-mannosidase (EC 3.2.1.25)
group02170,None Provided
group02171,hypothetical protein
group02172,"Transcriptional regulator, GABA/putrescine utiliation cluster"
group02173,None Provided
group02174,Transporter
group02175,hypothetical protein
group02176,hypothetical protein
group02177,None Provided
group02178,hypothetical protein
group02179,Glyoxalase family protein
group02180,hypothetical protein
group02181,hypothetical protein
group02182,hypothetical protein
group02183,hypothetical protein
group02184,None Provided
group02185,None Provided
group02186,Acetolactate synthase large subunit (EC 2.2.1.6)
group02187,hypothetical protein
group02188,None Provided
group02189,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
group02190,None Provided
group02191,None Provided
group02192,Sulfide dehydrogenase flavocytochrome C flavoprotein chain precursor (EC 1.8.2.-)
group02193,NADH dehydrogenase (EC 1.6.99.3)
group02194,putative sugar binding secreted protein
group02195,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group02196,hypothetical protein
group02197,"Ribose ABC transporter, periplasmic ribose-binding protein"
group02198,Alpha-xylosidase (EC 3.2.1.-)
group02199,hypothetical protein
group02200,None Provided
group02201,None Provided
group02202,"Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)"
group02203,None Provided
group02204,hypothetical protein
group02205,None Provided
group02206,Possible sulfoacetate exporter
group02207,None Provided
group02208,None Provided
group02209,None Provided
group02210,None Provided
group02211,None Provided
group02212,hypothetical protein
group02213,hypothetical protein
group02214,Permease of the drug/metabolite transporter (DMT) superfamily
group02215,hypothetical protein
group02216,None Provided
group02217,None Provided
group02218,None Provided
group02219,None Provided
group02220,SAM-dependent methyltransferase (EC 2.1.1.-)
group02221,L-lactate dehydrogenase (EC 1.1.2.3)
group02222,Demethylmenaquinone methyltransferase (EC 2.1.1.163)
group02223,FIG01170036: hypothetical protein
group02224,"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"
group02225,Isocitrate lyase (EC 4.1.3.1)
group02226,Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)
group02227,None Provided
group02228,"Pyruvate,phosphate dikinase (EC 2.7.9.1)"
group02229,None Provided
group02230,4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)
group02231,None Provided
group02232,None Provided
group02233,hypothetical protein
group02234,FIG001353: Acetyltransferase
group02235,hypothetical protein
group02236,Malate synthase (EC 2.3.3.9)
group02237,None Provided
group02238,probable sseC protein
group02239,3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)
group02240,None Provided
group02241,INTEGRAL MEMBRANE PROTEIN (Rhomboid family)
group02242,Multiple polyol-specific dehydrogenase (EC 1.1.1.-)
group02243,Tyrosine-protein kinase Wzc (EC 2.7.10.2)
group02244,hypothetical protein
group02245,None Provided
group02246,Respiratory nitrate reductase beta chain (EC 1.7.99.4)
group02247,YefM protein (antitoxin to YoeB)
group02248,None Provided
group02249,Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)
group02250,Arabinose 5-phosphate isomerase (EC 5.3.1.13)
group02251,None Provided
group02252,hypothetical protein
group02253,None Provided
group02254,hypothetical protein
group02255,None Provided
group02256,hypothetical protein
group02257,Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)
group02258,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group02259,None Provided
group02260,None Provided
group02261,None Provided
group02262,None Provided
group02263,hypothetical protein
group02264,None Provided
group02265,hypothetical protein
group02266,hypothetical protein
group02267,None Provided
group02268,hypothetical protein
group02269,None Provided
group02270,None Provided
group02271,hypothetical protein
group02272,None Provided
group02273,None Provided
group02274,None Provided
group02275,None Provided
group02276,hypothetical protein
group02277,None Provided
group02278,None Provided
group02279,None Provided
group02280,None Provided
group02281,None Provided
group02282,Endonuclease
group02283,hypothetical protein
group02284,hypothetical protein
group02285,Flavodoxin reductases (ferredoxin-NADPH reductases) family 1
group02286,Fructose-bisphosphate aldolase class I (EC 4.1.2.13)
group02287,rRNA small subunit methyltransferase H
group02288,"DNA-directed RNA polymerase beta subunit (EC 2.7.7.6), None Provided"
group02289,"Glucose-6-phosphate isomerase, archaeal (EC 5.3.1.9)"
group02290,hypothetical protein
group02291,None Provided
group02292,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
group02293,None Provided
group02294,None Provided
group02295,None Provided
group02296,None Provided
group02297,None Provided
group02298,None Provided
group02299,None Provided
group02300,None Provided
group02301,None Provided
group02302,None Provided
group02303,None Provided
group02304,hypothetical protein
group02305,hypothetical protein
group02306,None Provided
group02307,None Provided
group02308,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)
group02309,hypothetical protein
group02310,Sorbitol dehydrogenase (EC 1.1.1.14)
group02311,4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)
group02312,Enoyl-CoA hydratase (EC 4.2.1.17)
group02313,None Provided
group02314,None Provided
group02315,None Provided
group02316,UDP-glucose 4-epimerase (EC 5.1.3.2)
group02317,"Ferric iron ABC transporter, iron-binding protein"
group02318,PUTATIVE TRANSPORT TRANSMEMBRANE PROTEIN
group02319,NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)
group02320,Alpha-N-arabinofuranosidase (EC 3.2.1.55)
group02321,None Provided
group02322,None Provided
group02323,None Provided
group02324,Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)
group02325,None Provided
group02326,Mll2313 protein
group02327,oxidoreductase domain protein
group02328,Acetyl xylan esterase (EC 3.1.1.41)
group02329,Sulfite reductase NADPH flavoprotein alpha-component (EC 1.8.1.2)
group02330,"Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)"
group02331,None Provided
group02332,None Provided
group02333,None Provided
group02334,Inositol-1-monophosphatase (EC 3.1.3.25)
group02335,hypothetical protein
group02336,Serine hydroxymethyltransferase (EC 2.1.2.1)
group02337,hypothetical protein
group02338,Alcohol dehydrogenase (EC 1.1.1.1)
group02339,hypothetical protein
group02340,Ribose 5-phosphate isomerase B (EC 5.3.1.6) / Galactose 6-phosphate isomerase
group02341,None Provided
group02342,"Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)"
group02343,Excinuclease ABC subunit C
group02344,None Provided
group02345,Propanoyl-CoA C-acyltransferase
group02346,None Provided
group02347,None Provided
group02348,Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)
group02349,None Provided
group02350,hypothetical protein
group02351,Iron-sulfur cluster assembly protein SufD
group02352,None Provided
group02353,Copper resistance protein D
group02354,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group02355,"Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"
group02356,ThiJ/PfpI family protein
group02357,Serine hydroxymethyltransferase (EC 2.1.2.1)
group02358,Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)
group02359,None Provided
group02360,"Putative ABC transporter of substrate X, permease subunit II"
group02361,Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase
group02362,None Provided
group02363,None Provided
group02364,hypothetical protein
group02365,hypothetical protein
group02366,None Provided
group02367,hypothetical protein
group02368,Glyceraldehyde-3-phosphate ketol-isomerase (EC 5.3.1.1)
group02369,hypothetical protein
group02370,NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)
group02371,None Provided
group02372,None Provided
group02373,None Provided
group02374,None Provided
group02375,None Provided
group02376,ADP-ribosylglycohydrolase (EC 3.2.-.-)
group02377,hypothetical protein
group02378,hypothetical protein
group02379,None Provided
group02380,Topoisomerase IV subunit A (EC 5.99.1.-)
group02381,None Provided
group02382,Cell division protein FtsI Peptidoglycan synthetase (EC 2.4.1.129)
group02383,"Sialic acid utilization regulator, RpiR family"
group02384,N-acetylmuramic acid 6-phosphate etherase
group02385,hypothetical protein
group02386,protein of unknown function DUF885
group02387,None Provided
group02388,None Provided
group02389,None Provided
group02390,Ca2+/Na+ antiporter
group02391,ATP/GTP binding protein
group02392,None Provided
group02393,None Provided
group02394,None Provided
group02395,DsrC family protein
group02396,None Provided
group02397,Tryptophanase (EC 4.1.99.1)
group02398,hypothetical protein
group02399,hypothetical protein
group02400,hypothetical protein
group02401,hypothetical protein
group02402,hypothetical protein
group02403,None Provided
group02404,Deoxyribodipyrimidine photolyase (EC 4.1.99.3)
group02405,"Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"
group02406,Succinate-semialdehyde dehydrogenase NAD(P)+ (EC 1.2.1.16)
group02407,None Provided
group02408,Sucrose-6-phosphate hydrolase (EC 3.2.1.B3)
group02409,None Provided
group02410,"Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8) / Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)"
group02411,None Provided
group02412,hypothetical protein
group02413,hypothetical protein
group02414,hypothetical protein
group02415,unknown protein
group02416,hypothetical protein
group02417,hypothetical protein
group02418,None Provided
group02419,None Provided
group02420,None Provided
group02421,None Provided
group02422,SAM-dependent methyltransferases
group02423,None Provided
group02424,None Provided
group02425,Nucleoside-diphosphate-sugar epimerases
group02426,Inorganic pyrophosphatase (EC 3.6.1.1)
group02427,hypothetical protein
group02428,Hydrolases of the alpha/beta superfamily
group02429,None Provided
group02430,hypothetical protein
group02431,None Provided
group02432,None Provided
group02433,hypothetical protein
group02434,DNA ligase (EC 6.5.1.2)
group02435,None Provided
group02436,None Provided
group02437,short chain dehydrogenase
group02438,hypothetical protein
group02439,hypothetical protein
group02440,None Provided
group02441,hypothetical protein
group02442,hypothetical protein
group02443,None Provided
group02444,None Provided
group02445,Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)
group02446,Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase
group02447,unknown
group02448,None Provided
group02449,None Provided
group02450,None Provided
group02451,None Provided
group02452,None Provided
group02453,None Provided
group02454,None Provided
group02455,hypothetical protein
group02456,hypothetical protein
group02457,None Provided
group02458,None Provided
group02459,None Provided
group02460,hypothetical protein
group02461,hypothetical protein
group02462,Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)
group02463,MmgE/PrpD family protein
group02464,None Provided
group02465,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
group02466,Ribonuclease PH (EC 2.7.7.56)
group02467,3-isopropylmalate dehydrogenase (EC 1.1.1.85)
group02468,Phage tail fiber protein
group02469,None Provided
group02470,Adenosine (5)-pentaphospho-(5)-adenosine pyrophosphohydrolase (EC 3.6.1.-)
group02471,hypothetical protein
group02472,None Provided
group02473,Inosose dehydratase (EC 4.2.1.44)
group02474,None Provided
group02475,None Provided
group02476,hypothetical protein
group02477,Respiratory nitrate reductase alpha chain (EC 1.7.99.4)
group02478,None Provided
group02479,None Provided
group02480,None Provided
group02481,hypothetical protein
group02482,Nitrate/nitrite transporter
group02483,Nitrate/nitrite transporter NarK
group02484,Respiratory nitrate reductase delta chain (EC 1.7.99.4)
group02485,Respiratory nitrate reductase gamma chain (EC 1.7.99.4)
group02486,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)
group02487,None Provided
group02488,None Provided
group02489,None Provided
group02490,hypothetical protein
group02491,hypothetical protein
group02492,None Provided
group02493,hypothetical protein
group02494,None Provided
group02495,hypothetical protein
group02496,None Provided
group02497,Isoquinoline 1-oxidoreductase alpha subunit (EC 1.3.99.16)
group02498,Isoquinoline 1-oxidoreductase beta subunit (EC 1.3.99.16)
group02499,2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)
group02500,hypothetical protein
group02501,hypothetical protein
group02502,Protein rarD
group02503,hypothetical protein
group02504,None Provided
group02505,Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)
group02506,ABC-2 type transporter
group02507,None Provided
group02508,None Provided
group02509,None Provided
group02510,Serine endopeptidase ScpC (EC 3.4.21.-)
group02511,None Provided
group02512,None Provided
group02513,None Provided
group02514,None Provided
group02515,None Provided
group02516,None Provided
group02517,None Provided
group02518,None Provided
group02519,None Provided
group02520,None Provided
group02521,None Provided
group02522,None Provided
group02523,None Provided
group02524,Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)
group02525,Heat shock protein 60 family co-chaperone GroES
group02526,Queuosine Biosynthesis QueE Radical SAM
group02527,None Provided
group02528,None Provided
group02529,None Provided
group02530,None Provided
group02531,None Provided
group02532,None Provided
group02533,None Provided
group02534,None Provided
group02535,None Provided
group02536,None Provided
group02537,Mannonate dehydratase (EC 4.2.1.8)
group02538,hypothetical protein
group02539,None Provided
group02540,hypothetical protein
group02541,None Provided
group02542,None Provided
group02543,Glycerol-3-phosphate transporter
group02544,None Provided
group02545,None Provided
group02546,None Provided
group02547,Phage protein
group02548,None Provided
group02549,None Provided
group02550,DNA polymerase III alpha subunit (EC 2.7.7.7)
group02551,None Provided
group02552,None Provided
group02553,None Provided
group02554,Alpha-mannosidase (EC 3.2.1.24)
group02555,None Provided
group02556,hypothetical protein
group02557,None Provided
group02558,None Provided
group02559,None Provided
group02560,None Provided
group02561,None Provided
group02562,None Provided
group02563,None Provided
group02564,None Provided
group02565,None Provided
group02566,putative membrane transport protein
group02567,hypothetical protein
group02568,Phage tail fibers
group02569,None Provided
group02570,None Provided
group02571,None Provided
group02572,None Provided
group02573,None Provided
group02574,None Provided
group02575,None Provided
group02576,None Provided
group02577,hypothetical protein
group02578,"internalin, putative"
group02579,None Provided
group02580,None Provided
group02581,None Provided
group02582,Beta-galactosidase (EC 3.2.1.23)
group02583,hypothetical protein
group02584,None Provided
group02585,Uroporphyrinogen-III synthase (EC 4.2.1.75)
group02586,Glucosamine--fructose-6-phosphate aminotransferase isomerizing (EC 2.6.1.16)
group02587,None Provided
group02588,Topoisomerase IV subunit B (EC 5.99.1.-)
group02589,NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)
group02590,None Provided
group02591,None Provided
group02592,None Provided
group02593,Putative Dimethylglycine oxidase
group02594,None Provided
group02595,hypothetical protein
group02596,None Provided
group02597,ATP synthase epsilon chain (EC 3.6.3.14)
group02598,hypothetical protein
group02599,Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)
group02600,hypothetical protein
group02601,None Provided
group02602,None Provided
group02603,None Provided
group02604,None Provided
group02605,None Provided
group02606,hypothetical protein
group02607,None Provided
group02608,None Provided
group02609,hypothetical protein
group02610,None Provided
group02611,None Provided
group02612,None Provided
group02613,None Provided
group02614,"Ferredoxin, 2Fe-2S"
group02615,"internalin, putative"
group02616,Cell division trigger factor (EC 5.2.1.8)
group02617,hypothetical protein
group02618,hypothetical protein
group02619,hypothetical protein
group02620,None Provided
group02621,None Provided
group02622,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)"
group02623,None Provided
group02624,None Provided
group02625,None Provided
group02626,hypothetical protein
group02627,hypothetical protein
group02628,hypothetical protein
group02629,Diaminopimelate decarboxylase (EC 4.1.1.20)
group02630,None Provided
group02631,GTP-binding protein TypA/BipA
group02632,None Provided
group02633,Glucose-6-phosphate isomerase (EC 5.3.1.9)
group02634,FIG01122412: hypothetical protein
group02635,None Provided
group02636,None Provided
group02637,None Provided
group02638,None Provided
group02639,None Provided
group02640,Rod shape-determining protein MreC
group02641,5-nucleotidase (EC 3.1.3.5)
group02642,hypothetical protein
group02643,None Provided
group02644,Myo-inositol 2-dehydrogenase (EC 1.1.1.18)
group02645,hypothetical protein
group02646,Triosephosphate isomerase (EC 5.3.1.1)
group02647,hypothetical protein
group02648,None Provided
group02649,Peptide chain release factor 2
group02650,None Provided
group02651,ABC transporter related
group02652,LSU ribosomal protein L6p (L9e)
group02653,None Provided
group02654,Membrane alanine aminopeptidase N (EC 3.4.11.2)
group02655,None Provided
group02656,None Provided
group02657,protein of unknown function DUF1498
group02658,putative GFO/IDH/MocA family oxidoreductase
group02659,None Provided
group02660,hypothetical protein
group02661,None Provided
group02662,RecA protein
group02663,hypothetical protein
group02664,None Provided
group02665,None Provided
group02666,Uronate isomerase (EC 5.3.1.12)
group02667,hypothetical protein
group02668,Predicted transcriptional regulator of the myo-inositol catabolic operon
group02669,Transcription elongation factor GreA
group02670,None Provided
group02671,None Provided
group02672,Xaa-Pro aminopeptidase (EC 3.4.11.9)
group02673,Membrane-associated zinc metalloprotease
group02674,None Provided
group02675,None Provided
group02676,hypothetical protein
group02677,3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6); Glutaconate CoA-transferase subunit A (EC 2.8.3.12)
group02678,hypothetical protein
group02679,DNA ligase (EC 6.5.1.2)
group02680,Enoyl-acyl-carrier-protein reductase NADH (EC 1.3.1.9)
group02681,None Provided
group02682,Beta-carotene ketolase
group02683,Leucyl-tRNA synthetase (EC 6.1.1.4)
group02684,T1SS secreted agglutinin RTX
group02685,putative type IIS restriction/modification enzyme
group02686,DNA modification methylase (EC 2.1.1.72)
group02687,None Provided
group02688,None Provided
group02689,None Provided
group02690,Fumarylacetoacetase (EC 3.7.1.2)
group02691,None Provided
group02692,None Provided
group02693,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)
group02694,None Provided
group02695,hypothetical protein
group02696,tRNA-i(6)A37 methylthiotransferase
group02697,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
group02698,hypothetical protein
group02699,None Provided
group02700,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)
group02701,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
group02702,None Provided
group02703,L-lactate dehydrogenase (EC 1.1.2.3)
group02704,hypothetical protein
group02705,Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
group02706,"N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein"
group02707,None Provided
group02708,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
group02709,None Provided
group02710,None Provided
group02711,None Provided
group02712,None Provided
group02713,hypothetical protein
group02714,Amino acid permease
group02715,None Provided
group02716,None Provided
group02717,None Provided
group02718,None Provided
group02719,None Provided
group02720,None Provided
group02721,Betaine aldehyde dehydrogenase (EC 1.2.1.8)
group02722,hypothetical cytosolic protein
group02723,lipase/acylhydrolase family protein
group02724,None Provided
group02725,None Provided
group02726,None Provided
group02727,hypothetical protein
group02728,hypothetical protein
group02729,None Provided
group02730,None Provided
group02731,hypothetical protein
group02732,None Provided
group02733,None Provided
group02734,None Provided
group02735,None Provided
group02736,None Provided
group02737,None Provided
group02738,None Provided
group02739,None Provided
group02740,2-isopropylmalate synthase (EC 2.3.3.13)
group02741,None Provided
group02742,FIG00945442: hypothetical protein
group02743,Helicase PriA essential for oriC/DnaA-independent DNA replication
group02744,None Provided
group02745,None Provided
group02746,Chromosomal replication initiator protein DnaA
group02747,Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)
group02748,None Provided
group02749,None Provided
group02750,None Provided
group02751,None Provided
group02752,Nucleoside-diphosphate-sugar epimerases
group02753,None Provided
group02754,FIG00765460: hypothetical protein
group02755,3-dehydroquinate synthase (EC 4.2.3.4)
group02756,hypothetical protein
group02757,None Provided
group02758,Translation initiation factor 2
group02759,hypothetical protein
group02760,None Provided
group02761,Excinuclease ABC subunit C
group02762,None Provided
group02763,None Provided
group02764,None Provided
group02765,None Provided
group02766,Alkyl hydroperoxide reductase subunit C-like protein
group02767,None Provided
group02768,None Provided
group02769,None Provided
group02770,None Provided
group02771,None Provided
group02772,None Provided
group02773,None Provided
group02774,None Provided
group02775,Opine oxidase subunit A
group02776,putative type II restriction endonuclease
group02777,Acetyl-coenzyme A synthetase (EC 6.2.1.1)
group02778,None Provided
group02779,hypothetical protein
group02780,None Provided
group02781,Beta-lactamase class C and other penicillin binding proteins
group02782,hypothetical protein
group02783,None Provided
group02784,None Provided
group02785,INTEGRAL MEMBRANE PROTEIN (Rhomboid family)
group02786,None Provided
group02787,None Provided
group02788,None Provided
group02789,None Provided
group02790,hypothetical protein
group02791,None Provided
group02792,None Provided
group02793,hypothetical protein
group02794,None Provided
group02795,Cytosol aminopeptidase PepA (EC 3.4.11.1)
group02796,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
group02797,Threonyl-tRNA synthetase (EC 6.1.1.3)
group02798,None Provided
group02799,None Provided
group02800,hypothetical protein
group02801,hypothetical protein
group02802,None Provided
group02803,None Provided
group02804,None Provided
group02805,None Provided
group02806,None Provided
group02807,None Provided
group02808,None Provided
group02809,None Provided
group02810,None Provided
group02811,"RidA/YER057c/UK114 superfamily, group 1"
group02812,Dihydroneopterin aldolase (EC 4.1.2.25)
group02813,None Provided
group02814,None Provided
group02815,hypothetical protein
group02816,Iron-sulfur cluster assembly protein SufB
group02817,hypothetical protein
group02818,None Provided
group02819,hypothetical protein
group02820,None Provided
group02821,None Provided
group02822,None Provided
group02823,hypothetical protein
group02824,None Provided
group02825,None Provided
group02826,None Provided
group02827,hypothetical protein
group02828,None Provided
group02829,None Provided
group02830,None Provided
group02831,hypothetical protein
group02832,None Provided
group02833,Phage tail fiber protein
group02834,None Provided
group02835,hypothetical protein
group02836,hypothetical protein
group02837,None Provided
group02838,None Provided
group02839,None Provided
group02840,hypothetical protein
group02841,None Provided
group02842,None Provided
group02843,hypothetical protein
group02844,None Provided
group02845,None Provided
group02846,hypothetical protein
group02847,None Provided
group02848,Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)
group02849,None Provided
group02850,None Provided
group02851,None Provided
group02852,None Provided
group02853,None Provided
group02854,Polygalacturonase (EC 3.2.1.15)
group02855,Lipid A export ATP-binding/permease protein MsbA
group02856,None Provided
group02857,None Provided
group02858,None Provided
group02859,DNA gyrase subunit B (EC 5.99.1.3)
group02860,Methionyl-tRNA synthetase (EC 6.1.1.10)
group02861,Argininosuccinate synthase (EC 6.3.4.5)
group02862,Acetolactate synthase large subunit (EC 2.2.1.6)
group02863,None Provided
group02864,None Provided
group02865,FIG00814951: hypothetical protein
group02866,hypothetical protein
group02867,None Provided
group02868,Glutamine synthetase type I (EC 6.3.1.2)
group02869,Na+/H+ antiporter NhaA type
group02870,Heat shock protein 60 family chaperone GroEL
group02871,2-methylcitrate dehydratase (EC 4.2.1.79)
group02872,hypothetical protein
group02873,hypothetical protein
group02874,None Provided
group02875,None Provided
group02876,None Provided
group02877,Fe-S oxidoreductase
group02878,hypothetical protein
group02879,hypothetical protein
group02880,None Provided
group02881,Isoleucyl-tRNA synthetase (EC 6.1.1.5)
group02882,None Provided
group02883,None Provided
group02884,Heat shock protein 60 family chaperone GroEL
group02885,None Provided
group02886,None Provided
group02887,Acyl-acyl-carrier-protein--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)
group02888,hypothetical protein
group02889,None Provided
group02890,None Provided
group02891,Triosephosphate isomerase (EC 5.3.1.1)
